claim,evidence,label,claim_clean,evidence_clean,combined_text
0-dimensional biomaterials lack inductive properties.,,0,dimensional biomaterials lack inductive property,,dimensional biomaterials lack inductive property 
1 in 5 million in UK have abnormal PrP positivity.,"RESULTS Of the 32,441 appendix samples 16 were positive for abnormal PrP, indicating an overall prevalence of 493 per million population (95% confidence interval 282 to 801 per million).",0,million uk abnormal prp positivity,result appendix sample positive abnormal prp indicating overall prevalence per million population confidence interval per million,million uk abnormal prp positivity result appendix sample positive abnormal prp indicating overall prevalence per million population confidence interval per million
1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,,0,colorectal cancer patient diagnosed regional distant metastasis,,colorectal cancer patient diagnosed regional distant metastasis 
10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,,0,sudden infant death syndrome sids death happen newborn aged less month,,sudden infant death syndrome sids death happen newborn aged less month 
32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Policies requiring discontinuation of methadone in 32% of all programs contradict the evidence base for efficacy of long-term replacement therapies and potentially result in relapse of previously stable patients.,1,liver transplantation program required patient discontinue methadone treatment,policy requiring discontinuation methadone program contradict evidence base efficacy longterm replacement therapy potentially result relapse previously stable patient,liver transplantation program required patient discontinue methadone treatment policy requiring discontinuation methadone program contradict evidence base efficacy longterm replacement therapy potentially result relapse previously stable patient
4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,,0,pba treatment decrease endoplasmic reticulum stress response general endoplasmic reticulum stress marker,,pba treatment decrease endoplasmic reticulum stress response general endoplasmic reticulum stress marker 
4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,,0,pba treatment raise endoplasmic reticulum stress response general endoplasmic reticulum stress marker,,pba treatment raise endoplasmic reticulum stress response general endoplasmic reticulum stress marker 
40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,RESULTS Mean baseline homocysteine level was 24.0 micromol/L in the vitamin group and 24.2 micromol/L in the placebo group.,1,mgday dosage folic acid mgday dosage vitamin b affect chronic kidney disease ckd progression,result mean baseline homocysteine level micromoll vitamin group micromoll placebo group,mgday dosage folic acid mgday dosage vitamin b affect chronic kidney disease ckd progression result mean baseline homocysteine level micromoll vitamin group micromoll placebo group
40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"CONCLUSION Treatment with high doses of folic acid and B vitamins did not improve survival or reduce the incidence of vascular disease in patients with advanced chronic kidney disease or end-stage renal disease.   
",1,mgday dosage folic acid mgday dosage vitamin b affect chronic kidney disease ckd progression,conclusion treatment high dos folic acid b vitamin improve survival reduce incidence vascular disease patient advanced chronic kidney disease endstage renal disease,mgday dosage folic acid mgday dosage vitamin b affect chronic kidney disease ckd progression conclusion treatment high dos folic acid b vitamin improve survival reduce incidence vascular disease patient advanced chronic kidney disease endstage renal disease
5'-nucleotidase metabolizes 6MP.,,0,nucleotidase metabolizes mp,,nucleotidase metabolizes mp 
50% of patients exposed to radiation have activated markers of mesenchymal stem cells.,,0,patient exposed radiation activated marker mesenchymal stem cell,,patient exposed radiation activated marker mesenchymal stem cell 
53% of perinatal mortality is due to low birth weight.,,0,perinatal mortality due low birth weight,,perinatal mortality due low birth weight 
61% of colorectal cancer patients are diagnosed with regional or distant metastases.,,0,colorectal cancer patient diagnosed regional distant metastasis,,colorectal cancer patient diagnosed regional distant metastasis 
7-day-old adult Caenorhabditis elegans exhibit approximately 5% of the learning capacity seen in 1-day old adults.,,0,dayold adult caenorhabditis elegans exhibit approximately learning capacity seen day old adult,,dayold adult caenorhabditis elegans exhibit approximately learning capacity seen day old adult 
7-day-old adult Caenorhabditis elegans exhibit approximately 75% of the learning capacity seen in 1-day old adults.,,0,dayold adult caenorhabditis elegans exhibit approximately learning capacity seen day old adult,,dayold adult caenorhabditis elegans exhibit approximately learning capacity seen day old adult 
70% of burn patients are admitted for hospitalization and further treatment after appearing at hospital emergency wards or outpatient clinics.,,0,burn patient admitted hospitalization treatment appearing hospital emergency ward outpatient clinic,,burn patient admitted hospitalization treatment appearing hospital emergency ward outpatient clinic 
76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,"Although disorder severity was correlated with probability of treatment in almost all countries, 35.5% to 50.3% of serious cases in developed countries and 76.3% to 85.4% in less-developed countries received no treatment in the 12 months before the interview.",1,people severe mental disorder receive treatment low middle income country,although disorder severity correlated probability treatment almost country serious case developed country lessdeveloped country received treatment month interview,people severe mental disorder receive treatment low middle income country although disorder severity correlated probability treatment almost country serious case developed country lessdeveloped country received treatment month interview
90% of patients with melanoma and an objective response to PD-1 blockade will experience a progression in their melanoma.,,0,patient melanoma objective response pd blockade experience progression melanoma,,patient melanoma objective response pd blockade experience progression melanoma 
90% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,,0,sudden infant death syndrome sids death happen newborn aged less month,,sudden infant death syndrome sids death happen newborn aged less month 
A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 1 year of weekly intake.,,0,g dose chloroquine chemoprophylactic regimen result retinal toxicity year weekly intake,,g dose chloroquine chemoprophylactic regimen result retinal toxicity year weekly intake 
A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 5-6 years of weekly intake.,,0,g dose chloroquine chemoprophylactic regimen result retinal toxicity year weekly intake,,g dose chloroquine chemoprophylactic regimen result retinal toxicity year weekly intake 
A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,"We report that activation of basophils by autoreactive IgE causes their homing to lymph nodes, promoting T helper type 2 (T(H)2) cell differentiation and enhancing the production of self-reactive antibodies that cause lupus-like nephritis in mice lacking the Src family protein tyrosine kinase Lyn (Lyn(-/-) mice).",0,helper cell th environment impedes disease development patient systemic lupus erythematosus sle,report activation basophil autoreactive ige cause homing lymph node promoting helper type th cell differentiation enhancing production selfreactive antibody cause lupuslike nephritis mouse lacking src family protein tyrosine kinase lyn lyn mouse,helper cell th environment impedes disease development patient systemic lupus erythematosus sle report activation basophil autoreactive ige cause homing lymph node promoting helper type th cell differentiation enhancing production selfreactive antibody cause lupuslike nephritis mouse lacking src family protein tyrosine kinase lyn lyn mouse
A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,"Individuals with SLE also have elevated serum IgE, self-reactive IgEs and activated basophils that express CD62 ligand (CD62L) and the major histocompatibility complex (MHC) class II molecule human leukocyte antigen-DR (HLA-DR), parameters that are associated with increased disease activity and active lupus nephritis.",0,helper cell th environment impedes disease development patient systemic lupus erythematosus sle,individual sle also elevated serum ige selfreactive ige activated basophil express cd ligand cdl major histocompatibility complex mhc class ii molecule human leukocyte antigendr hladr parameter associated increased disease activity active lupus nephritis,helper cell th environment impedes disease development patient systemic lupus erythematosus sle individual sle also elevated serum ige selfreactive ige activated basophil express cd ligand cdl major histocompatibility complex mhc class ii molecule human leukocyte antigendr hladr parameter associated increased disease activity active lupus nephritis
A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,"Thus, in Lyn(-/-) mice, basophils and IgE autoantibodies amplify autoantibody production that leads to lupus nephritis, and in individuals with SLE IgE autoantibodies and activated basophils are factors associated with disease activity and nephritis.",0,helper cell th environment impedes disease development patient systemic lupus erythematosus sle,thus lyn mouse basophil ige autoantibody amplify autoantibody production lead lupus nephritis individual sle ige autoantibody activated basophil factor associated disease activity nephritis,helper cell th environment impedes disease development patient systemic lupus erythematosus sle thus lyn mouse basophil ige autoantibody amplify autoantibody production lead lupus nephritis individual sle ige autoantibody activated basophil factor associated disease activity nephritis
A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"At 9 years of follow-up, the recurrence rates were 14.9% for extensive metabolizers, 20.9% for heterozygous extensive/intermediate metabolizers, and 29.0% for poor metabolizers, and all-cause mortality rates were 16.7%, 18.0%, and 22.8%, respectively.",1,breast cancer patient capacity metabolize tamoxifen influence treatment outcome,year followup recurrence rate extensive metabolizers heterozygous extensiveintermediate metabolizers poor metabolizers allcause mortality rate respectively,breast cancer patient capacity metabolize tamoxifen influence treatment outcome year followup recurrence rate extensive metabolizers heterozygous extensiveintermediate metabolizers poor metabolizers allcause mortality rate respectively
A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"Compared with extensive metabolizers, there was a significantly increased risk of recurrence for heterozygous extensive/intermediate metabolizers (time to recurrence adjusted hazard ratio [HR], 1.40; 95% confidence interval [CI], 1.04-1.90) and for poor metabolizers (time to recurrence HR, 1.90; 95% CI, 1.10-3.28).",1,breast cancer patient capacity metabolize tamoxifen influence treatment outcome,compared extensive metabolizers significantly increased risk recurrence heterozygous extensiveintermediate metabolizers time recurrence adjusted hazard ratio hr confidence interval ci poor metabolizers time recurrence hr ci,breast cancer patient capacity metabolize tamoxifen influence treatment outcome compared extensive metabolizers significantly increased risk recurrence heterozygous extensiveintermediate metabolizers time recurrence adjusted hazard ratio hr confidence interval ci poor metabolizers time recurrence hr ci
A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"Compared with extensive metabolizers, those with decreased CYP2D6 activity (heterozygous extensive/intermediate and poor metabolism) had worse event-free survival (HR, 1.33; 95% CI, 1.06-1.68) and disease-free survival (HR, 1.29; 95% CI, 1.03-1.61), but there was no significant difference in overall survival (HR, 1.15; 95% CI, 0.88-1.51).   
",1,breast cancer patient capacity metabolize tamoxifen influence treatment outcome,compared extensive metabolizers decreased cypd activity heterozygous extensiveintermediate poor metabolism worse eventfree survival hr ci diseasefree survival hr ci significant difference overall survival hr ci,breast cancer patient capacity metabolize tamoxifen influence treatment outcome compared extensive metabolizers decreased cypd activity heterozygous extensiveintermediate poor metabolism worse eventfree survival hr ci diseasefree survival hr ci significant difference overall survival hr ci
A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"CONCLUSION Among women with breast cancer treated with tamoxifen, there was an association between CYP2D6 variation and clinical outcomes, such that the presence of 2 functional CYP2D6 alleles was associated with better clinical outcomes and the presence of nonfunctional or reduced-function alleles with worse outcomes.",1,breast cancer patient capacity metabolize tamoxifen influence treatment outcome,conclusion among woman breast cancer treated tamoxifen association cypd variation clinical outcome presence functional cypd allele associated better clinical outcome presence nonfunctional reducedfunction allele worse outcome,breast cancer patient capacity metabolize tamoxifen influence treatment outcome conclusion among woman breast cancer treated tamoxifen association cypd variation clinical outcome presence functional cypd allele associated better clinical outcome presence nonfunctional reducedfunction allele worse outcome
A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,CONCLUSIONS This study substantiates previous findings related to vaccine price and presents new evidence to suggest that GAVI eligibility is associated with accelerated decisions to adopt Hib vaccine.,0,country vaccine alliance gavi eligibility indictivate accelerated adoption hub vaccine,conclusion study substantiates previous finding related vaccine price present new evidence suggest gavi eligibility associated accelerated decision adopt hib vaccine,country vaccine alliance gavi eligibility indictivate accelerated adoption hub vaccine conclusion study substantiates previous finding related vaccine price present new evidence suggest gavi eligibility associated accelerated decision adopt hib vaccine
A deficiency of folate increases blood levels of homocysteine.,"RESULTS Median serum homocysteine level decreased with increasing folic acid dosage, to a maximum at 0.8 mg of folic acid per day, when the homocysteine reduction (placebo adjusted) was 2.7 micromol/L (23%), similar to the known effect of folic acid dosages of 1 mg/d and above.",1,deficiency folate increase blood level homocysteine,result median serum homocysteine level decreased increasing folic acid dosage maximum mg folic acid per day homocysteine reduction placebo adjusted micromoll similar known effect folic acid dosage mgd,deficiency folate increase blood level homocysteine result median serum homocysteine level decreased increasing folic acid dosage maximum mg folic acid per day homocysteine reduction placebo adjusted micromoll similar known effect folic acid dosage mgd
A deficiency of vitamin B12 decreases blood levels of homocysteine.,,0,deficiency vitamin b decrease blood level homocysteine,,deficiency vitamin b decrease blood level homocysteine 
A deficiency of vitamin B6 decreases blood levels of homocysteine.,,0,deficiency vitamin b decrease blood level homocysteine,,deficiency vitamin b decrease blood level homocysteine 
A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"After adjusting for age, body mass index, race, current smoking status, and recent hormonal contraceptive use, women with low AMH values (<0.7 ng/mL [n = 84]) did not have a significantly different predicted probability of conceiving by 6 cycles of attempt (65%; 95% CI, 50%-75%) compared with women (n = 579) with normal values (62%; 95% CI, 57%-66%) or by 12 cycles of attempt (84% [95% CI, 70%-91%] vs 75% [95% CI, 70%-79%], respectively).",1,diminished ovarian reserve solely indicate infertility priori noninfertile population,adjusting age body mass index race current smoking status recent hormonal contraceptive use woman low amh value ngml n significantly different predicted probability conceiving cycle attempt ci compared woman n normal value ci cycle attempt ci v ci respectively,diminished ovarian reserve solely indicate infertility priori noninfertile population adjusting age body mass index race current smoking status recent hormonal contraceptive use woman low amh value ngml n significantly different predicted probability conceiving cycle attempt ci compared woman n normal value ci cycle attempt ci v ci respectively
A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Women with high serum FSH values (>10 mIU/mL [n = 83]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (63%; 95% CI, 50%-73%) compared with women (n = 654) with normal values (62%; 95% CI, 57%-66%) or after 12 cycles of attempt (82% [95% CI, 70%-89%] vs 75% [95% CI, 70%-78%], respectively).",1,diminished ovarian reserve solely indicate infertility priori noninfertile population,woman high serum fsh value miuml n significantly different predicted probability conceiving cycle attempt ci compared woman n normal value ci cycle attempt ci v ci respectively,diminished ovarian reserve solely indicate infertility priori noninfertile population woman high serum fsh value miuml n significantly different predicted probability conceiving cycle attempt ci compared woman n normal value ci cycle attempt ci v ci respectively
A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Women with high urinary FSH values (>11.5 mIU/mg creatinine [n = 69]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (61%; 95% CI, 46%-74%) compared with women (n = 660) with normal values (62%; 95% CI, 58%-66%) or after 12 cycles of attempt (70% [95% CI, 54%-80%] vs 76% [95% CI, 72%-80%], respectively).",1,diminished ovarian reserve solely indicate infertility priori noninfertile population,woman high urinary fsh value miumg creatinine n significantly different predicted probability conceiving cycle attempt ci compared woman n normal value ci cycle attempt ci v ci respectively,diminished ovarian reserve solely indicate infertility priori noninfertile population woman high urinary fsh value miumg creatinine n significantly different predicted probability conceiving cycle attempt ci compared woman n normal value ci cycle attempt ci v ci respectively
A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Inhibin B levels (n = 737) were not associated with the probability of conceiving in a given cycle (hazard ratio per 1-pg/mL increase, 0.999; 95% CI, 0.997-1.001).",1,diminished ovarian reserve solely indicate infertility priori noninfertile population,inhibin b level n associated probability conceiving given cycle hazard ratio per pgml increase ci,diminished ovarian reserve solely indicate infertility priori noninfertile population inhibin b level n associated probability conceiving given cycle hazard ratio per pgml increase ci
A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Conclusions and Relevance Among women aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility.",1,diminished ovarian reserve solely indicate infertility priori noninfertile population,conclusion relevance among woman aged year without history infertility trying conceive month less biomarkers indicating diminished ovarian reserve compared normal ovarian reserve associated reduced fertility,diminished ovarian reserve solely indicate infertility priori noninfertile population conclusion relevance among woman aged year without history infertility trying conceive month less biomarkers indicating diminished ovarian reserve compared normal ovarian reserve associated reduced fertility
"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","After adjusting for age, body mass index, race, current smoking status, and recent hormonal contraceptive use, women with low AMH values (<0.7 ng/mL [n = 84]) did not have a significantly different predicted probability of conceiving by 6 cycles of attempt (65%; 95% CI, 50%-75%) compared with women (n = 579) with normal values (62%; 95% CI, 57%-66%) or by 12 cycles of attempt (84% [95% CI, 70%-91%] vs 75% [95% CI, 70%-79%], respectively).",0,diminished ovarian reserve strong indicator infertility even priori noninfertile population,adjusting age body mass index race current smoking status recent hormonal contraceptive use woman low amh value ngml n significantly different predicted probability conceiving cycle attempt ci compared woman n normal value ci cycle attempt ci v ci respectively,diminished ovarian reserve strong indicator infertility even priori noninfertile population adjusting age body mass index race current smoking status recent hormonal contraceptive use woman low amh value ngml n significantly different predicted probability conceiving cycle attempt ci compared woman n normal value ci cycle attempt ci v ci respectively
"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Women with high serum FSH values (>10 mIU/mL [n = 83]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (63%; 95% CI, 50%-73%) compared with women (n = 654) with normal values (62%; 95% CI, 57%-66%) or after 12 cycles of attempt (82% [95% CI, 70%-89%] vs 75% [95% CI, 70%-78%], respectively).",0,diminished ovarian reserve strong indicator infertility even priori noninfertile population,woman high serum fsh value miuml n significantly different predicted probability conceiving cycle attempt ci compared woman n normal value ci cycle attempt ci v ci respectively,diminished ovarian reserve strong indicator infertility even priori noninfertile population woman high serum fsh value miuml n significantly different predicted probability conceiving cycle attempt ci compared woman n normal value ci cycle attempt ci v ci respectively
"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Women with high urinary FSH values (>11.5 mIU/mg creatinine [n = 69]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (61%; 95% CI, 46%-74%) compared with women (n = 660) with normal values (62%; 95% CI, 58%-66%) or after 12 cycles of attempt (70% [95% CI, 54%-80%] vs 76% [95% CI, 72%-80%], respectively).",0,diminished ovarian reserve strong indicator infertility even priori noninfertile population,woman high urinary fsh value miumg creatinine n significantly different predicted probability conceiving cycle attempt ci compared woman n normal value ci cycle attempt ci v ci respectively,diminished ovarian reserve strong indicator infertility even priori noninfertile population woman high urinary fsh value miumg creatinine n significantly different predicted probability conceiving cycle attempt ci compared woman n normal value ci cycle attempt ci v ci respectively
